,question,answer
0,littl girl fall swing,arm
1,6 afraid 7,7 regist 6 offend
2,what green smell like red paint,green paint
3,mani pancak take cover dog hous,none chicken bone applesauc
4,differ duck,one leg walk bang head togeth
5,call black man fli plane,pilot racist
6,what differ ass kiss brown nose,depth percept
7,call dyslex agnost insomnia,someon stay night wonder realli dog
8,mani kid attent deficit disord take screw light bulb,let ride bike
9,irish peasant wear cloak,cape warm
10,find blind man nudist coloni,hard
11,call frenchman wear sandal,phillip phlop
12,mani actor take screw lightbulb,one need least 10 discuss done better
13,best way forc man sit-up,put remot control toe
14,african american man chines man mexican man jump bridg land first,care
15,consid physic attribut consid shallow,ugli peopl bitter
16,differ men women,woman want one man satisfi everi need man want everi woman satisfi one need
17,ca chines coupl caucasian babi,two wong make white
18,worst thing eat veget,get back wheelchair
19,call kid arm eyepatch,name
20,bird fli south,far walk
21,red exist,tomato
22,bunni cross road,car come
23,mous spin,higher fewer
24,dentur moon common,come night
25,spell canada canadian,c-eh n-eh d-eh
26,6 afraid 7,caus 7 8 9
27,lie bottom ocean twitch,nervou wreck
28,leper say prostitut,keep tip
29,know blond make chocol chip cooki,shell floor
30,blond say open box cheerio,oh look daddydoughnut seed
31,hide dollar bill plastic surgeon,ca hide dollar bill plastic surgeon
32,mani psychiatrist take chang lightbulb,oh one lightbulb realli want chang
33,red-hair looni like biscuit,ginger nut
34,differ philosoph engin,year
35,differ lawyer vampir,vampir suck blood night
36,mani blond take chang light bulb,one hold socket wait world revolv around
37,white ca jump,refriger
38,tell pirat fallen modern technolog,ipatch give away
39,think smoke use narcot,yeah whatev hang sometim
40,6 afraid 7,7 black
41,oh think drop high school,bet realli success life
42,call polic offic sleep bag,pig blanket
43,call fratboy suit,defend
